ano,sigla_uf,id_municipio,rede,tipo_localizacao,quantidade_alunos_inse,inse,percentual_nivel_1,percentual_nivel_2,percentual_nivel_3,percentual_nivel_4,percentual_nivel_5,percentual_nivel_6,percentual_nivel_7,percentual_nivel_8
2019,RO,1100809,2,0,423,4.6109,0.8,21.21,23.55,25.94,16.1,7.77,3.79,0.85
2019,RO,1100809,2,1,423,4.6109,0.8,21.21,23.55,25.94,16.1,7.77,3.79,0.85
2019,RO,1100809,5,0,767,4.6013,1.03,20.75,25.29,25.04,15.22,8.27,3.93,0.47
2019,RO,1100809,5,1,606,4.6158,0.87,21.05,23.48,25.99,15.51,8.1,4.4,0.6
2019,RO,1100809,6,0,767,4.6013,1.03,20.75,25.29,25.04,15.22,8.27,3.93,0.47
2019,RO,1100809,6,1,606,4.6158,0.87,21.05,23.48,25.99,15.51,8.1,4.4,0.6
2019,RO,1100908,0,0,123,4.486,0,24.09,29.23,27.29,11.91,5.94,0.74,0.8
2019,RO,1100908,0,1,51,4.5872,0,17.33,30.61,29.49,14.69,6.03,0,1.86
2019,RO,1100908,2,0,51,4.5872,0,17.33,30.61,29.49,14.69,6.03,0,1.86
2019,RO,1100908,2,1,51,4.5872,0,17.33,30.61,29.49,14.69,6.03,0,1.86
2019,RO,1100908,5,0,123,4.486,0,24.09,29.23,27.29,11.91,5.94,0.74,0.8
2019,RO,1100908,5,1,51,4.5872,0,17.33,30.61,29.49,14.69,6.03,0,1.86
2019,RO,1100908,6,0,123,4.486,0,24.09,29.23,27.29,11.91,5.94,0.74,0.8
2019,RO,1100908,6,1,51,4.5872,0,17.33,30.61,29.49,14.69,6.03,0,1.86
2019,RO,1100940,0,0,569,4.5241,0.72,24.49,25.79,23.87,15.58,5.79,3.47,0.31
2019,RO,1100940,0,1,462,4.5306,0.66,25.06,26.2,22.24,15.27,6.08,4.1,0.39
2019,RO,1100940,3,0,305,4.5105,0.36,25.54,24.12,26.67,14.36,5.66,2.7,0.58
2019,RO,1100940,3,1,198,4.5177,0,27.54,24.1,24.51,12.92,6.28,3.74,0.92
