sk_municipio,sk_tempo,sk_rede,despesa_liquidada_educacao,desp_liq_fundamental,desp_liq_infantil,despesa_empenhada_educacao,desp_emp_fundamental,desp_emp_infantil,mat_creche,mat_pre_escola,mat_anos_iniciais,mat_anos_finais,mat_especial_classes_comuns,docentes_iniciais,docentes_finais,turmas_iniciais,turmas_finais,escolas_creche,escolas_pre_escola,escolas_iniciais,escolas_finais,ideb_iniciais,ideb_meta_iniciais,rendimento_iniciais,saeb_mat_iniciais,saeb_lp_iniciais,saeb_nota_iniciais,ideb_finais,ideb_meta_finais,rendimento_finais,saeb_mat_finais,saeb_lp_finais,saeb_nota_finais,inse_score,inse_classificacao,qtd_alunos_inse
3556602,2016,2,,,,,,,0,0,0,489,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
3556602,2016,3,,,,,,,186,184,620,0,19,37,0,32,0,3,2,2,0,,,,,,,,,,,,,,,
3501400,2017,2,,,,,,,0,0,0,173,0,0,0,0,0,0,0,0,1,,,,,,,4.4,5.3,0.962233,228.07,246.08,4.569167,,,
3501400,2017,3,,,,,,,0,98,275,0,4,17,0,14,0,0,1,1,0,6.0,5.8,0.989414,223.77,211.44,6.078836,,,,,,,,,
3501509,2017,2,,,,,,,0,0,0,189,0,0,0,0,0,0,0,0,1,,,,,,,4.6,5.0,0.916739,247.9,253.31,5.020167,,,
3501509,2017,3,3841868.77,2504574.55,1072331.33,4039613.2,2504574.55,1270075.76,113,93,249,0,12,18,0,13,0,1,1,1,0,7.0,6.0,0.992162,255.2,233.46,7.079009,,,,,,,,,
3502804,2017,2,,,,,,,26,1,4,6153,0,0,0,0,0,1,1,2,24,,,0.5,,,,4.9,5.5,0.960924,251.12,253.89,5.0835,,,
3502804,2017,3,133569579.74,66683983.51,50395627.58,140994150.31,70644437.1,53475268.59,3516,3515,8307,0,275,363,6,345,6,38,40,29,0,6.7,6.5,0.95811,244.63,237.52,6.95111,,,,,,,,,
3503208,2017,2,,,,,,,32,0,5285,5821,0,0,0,0,0,1,0,13,20,6.9,6.9,0.999399,248.05,232.42,6.92365,5.0,6.2,0.942551,255.58,261.03,5.276833,,,
3503208,2017,3,186462521.93,93331979.4,75016787.05,190599390.97,96895361.26,75568112.97,5716,4454,4688,2618,406,257,156,204,102,41,41,14,11,6.1,6.5,0.986521,222.29,217.11,6.153683,4.9,5.6,0.947385,254.42,257.89,5.205167,,,
3504008,2017,2,,,,,,,10,0,0,3855,0,0,0,0,0,1,0,0,12,,,,,,,4.9,5.8,0.911195,261.91,262.83,5.412333,,,
3504008,2017,3,86550918.5,41415680.09,18277374.51,87221005.23,41538790.88,18404520.2,2124,1960,5074,0,159,302,0,213,0,15,17,19,0,6.7,6.2,0.981997,245.94,229.24,6.825564,,4.9,,,,,,,
3506003,2017,2,,,,,,,40,0,9725,12045,0,0,0,0,0,1,0,30,38,6.4,6.6,0.978637,236.83,223.66,6.550255,4.4,5.7,0.91438,241.93,245.39,4.788667,,,
3506003,2017,3,182612800.33,74733970.09,85203486.78,185411697.54,75582642.99,86970777.54,4714,5501,6931,1354,356,327,80,267,51,66,65,16,5,6.1,6.0,0.973903,226.59,219.98,6.287926,4.9,5.9,0.908401,258.29,262.45,5.345667,,,
3507506,2017,2,,,,,,,86,0,4,3836,0,0,0,0,0,2,0,1,14,,6.3,1.0,,,,4.6,5.3,0.909903,253.04,249.36,5.04,,,
3507506,2017,3,98932954.31,61918233.88,27795845.21,102485533.86,64720209.93,28367597.85,2394,2219,6534,1744,177,276,77,268,67,23,24,21,4,6.6,6.3,0.990902,238.54,225.93,6.624161,5.3,5.1,0.952261,271.31,264.82,5.602167,,,
3514403,2017,2,,,,,,,0,0,0,1555,0,0,0,0,0,0,0,0,4,,,,,,,5.2,5.8,0.928666,268.78,267.44,5.603667,,,
3514403,2017,3,,,,,,,905,771,2104,75,72,169,20,105,8,9,9,9,2,7.0,6.5,0.989582,252.1,235.27,7.052758,,5.4,0.984567,,,,,,
